        hour            z         tsoi
       3.000      -56.250       15.094
       3.000      -58.750       15.071
       3.000      -61.250       15.049
       3.000      -63.750       15.028
       3.000      -66.250       15.009
       3.000      -68.750       14.992
       3.000      -71.250       14.977
       3.000      -73.750       14.964
       3.000      -76.250       14.953
       3.000      -78.750       14.944
       3.000      -81.250       14.936
       3.000      -83.750       14.929
       3.000      -86.250       14.924
       3.000      -88.750       14.920
       3.000      -91.250       14.916
       3.000      -93.750       14.914
       3.000      -96.250       14.911
       3.000      -98.750       14.909
       3.500        0.000       10.381
       3.500       -1.250       10.605
       3.500       -3.750       11.107
       3.500       -6.250       11.628
       3.500       -8.750       12.141
       3.500      -11.250       12.628
       3.500      -13.750       13.077
       3.500      -16.250       13.480
       3.500      -18.750       13.833
       3.500      -21.250       14.135
       3.500      -23.750       14.389
       3.500      -26.250       14.597
       3.500      -28.750       14.764
       3.500      -31.250       14.893
       3.500      -33.750       14.989
       3.500      -36.250       15.058
       3.500      -38.750       15.105
       3.500      -41.250       15.132
       3.500      -43.750       15.145
       3.500      -46.250       15.147
       3.500      -48.750       15.140
       3.500      -51.250       15.127
       3.500      -53.750       15.110
       3.500      -56.250       15.091
       3.500      -58.750       15.071
       3.500      -61.250       15.051
       3.500      -63.750       15.032
       3.500      -66.250       15.013
       3.500      -68.750       14.997
       3.500      -71.250       14.982
       3.500      -73.750       14.969
       3.500      -76.250       14.958
       3.500      -78.750       14.948
       3.500      -81.250       14.939
       3.500      -83.750       14.933
       3.500      -86.250       14.927
       3.500      -88.750       14.922
       3.500      -91.250       14.918
       3.500      -93.750       14.915
       3.500      -96.250       14.912
       3.500      -98.750       14.910
       4.000        0.000       10.670
       4.000       -1.250       10.829
       4.000       -3.750       11.225
       4.000       -6.250       11.665
       4.000       -8.750       12.117
       4.000      -11.250       12.561
       4.000      -13.750       12.981
       4.000      -16.250       13.366
       4.000      -18.750       13.711
       4.000      -21.250       14.013
       4.000      -23.750       14.271
       4.000      -26.250       14.487
       4.000      -28.750       14.663
       4.000      -31.250       14.803
       4.000      -33.750       14.912
       4.000      -36.250       14.993
       4.000      -38.750       15.050
       4.000      -41.250       15.088
       4.000      -43.750       15.110
       4.000      -46.250       15.120
       4.000      -48.750       15.120
       4.000      -51.250       15.113
       4.000      -53.750       15.101
       4.000      -56.250       15.086
       4.000      -58.750       15.069
       4.000      -61.250       15.051
       4.000      -63.750       15.033
       4.000      -66.250       15.017
       4.000      -68.750       15.001
       4.000      -71.250       14.986
       4.000      -73.750       14.973
       4.000      -76.250       14.962
       4.000      -78.750       14.952
       4.000      -81.250       14.943
       4.000      -83.750       14.936
       4.000      -86.250       14.930
       4.000      -88.750       14.925
       4.000      -91.250       14.920
       4.000      -93.750       14.917
       4.000      -96.250       14.914
       4.000      -98.750       14.911
       4.500        0.000       11.033
       4.500       -1.250       11.123
       4.500       -3.750       11.408
       4.500       -6.250       11.759
       4.500       -8.750       12.142
       4.500      -11.250       12.535
       4.500      -13.750       12.919
       4.500      -16.250       13.280
       4.500      -18.750       13.611
       4.500      -21.250       13.907
       4.500      -23.750       14.165
       4.500      -26.250       14.384
       4.500      -28.750       14.568
       4.500      -31.250       14.717
       4.500      -33.750       14.835
       4.500      -36.250       14.926
       4.500      -38.750       14.994
       4.500      -41.250       15.042
       4.500      -43.750       15.073
       4.500      -46.250       15.090
       4.500      -48.750       15.097
       4.500      -51.250       15.096
       4.500      -53.750       15.089
       4.500      -56.250       15.078
       4.500      -58.750       15.065
       4.500      -61.250       15.050
       4.500      -63.750       15.034
       4.500      -66.250       15.018
       4.500      -68.750       15.003
       4.500      -71.250       14.990
       4.500      -73.750       14.977
       4.500      -76.250       14.965
       4.500      -78.750       14.955
       4.500      -81.250       14.947
       4.500      -83.750       14.939
       4.500      -86.250       14.932
       4.500      -88.750       14.927
       4.500      -91.250       14.922
       4.500      -93.750       14.918
       4.500      -96.250       14.915
       4.500      -98.750       14.913
       5.000        0.000       11.464
       5.000       -1.250       11.484
       5.000       -3.750       11.652
       5.000       -6.250       11.908
       5.000       -8.750       12.216
       5.000      -11.250       12.551
       5.000      -13.750       12.892
       5.000      -16.250       13.224
       5.000      -18.750       13.535
       5.000      -21.250       13.819
       5.000      -23.750       14.072
       5.000      -26.250       14.292
       5.000      -28.750       14.479
       5.000      -31.250       14.635
       5.000      -33.750       14.761
       5.000      -36.250       14.861
       5.000      -38.750       14.938
       5.000      -41.250       14.994
       5.000      -43.750       15.033
       5.000      -46.250       15.058
       5.000      -48.750       15.072
       5.000      -51.250       15.077
       5.000      -53.750       15.076
       5.000      -56.250       15.069
       5.000      -58.750       15.059
       5.000      -61.250       15.046
       5.000      -63.750       15.033
       5.000      -66.250       15.019
       5.000      -68.750       15.005
       5.000      -71.250       14.992
       5.000      -73.750       14.980
       5.000      -76.250       14.969
       5.000      -78.750       14.959
       5.000      -81.250       14.950
       5.000      -83.750       14.942
       5.000      -86.250       14.935
       5.000      -88.750       14.929
       5.000      -91.250       14.924
       5.000      -93.750       14.920
       5.000      -96.250       14.917
       5.000      -98.750       14.914
       5.500        0.000       11.956
       5.500       -1.250       11.905
       5.500       -3.750       11.954
       5.500       -6.250       12.110
       5.500       -8.750       12.338
       5.500      -11.250       12.610
       5.500      -13.750       12.902
       5.500      -16.250       13.198
       5.500      -18.750       13.484
       5.500      -21.250       13.752
       5.500      -23.750       13.995
       5.500      -26.250       14.212
       5.500      -28.750       14.400
       5.500      -31.250       14.559
       5.500      -33.750       14.691
       5.500      -36.250       14.797
       5.500      -38.750       14.882
       5.500      -41.250       14.946
       5.500      -43.750       14.993
       5.500      -46.250       15.025
       5.500      -48.750       15.045
       5.500      -51.250       15.056
       5.500      -53.750       15.060
       5.500      -56.250       15.057
       5.500      -58.750       15.051
       5.500      -61.250       15.041
       5.500      -63.750       15.030
       5.500      -66.250       15.018
