        hour        infil
     0.35278      5.82553
     0.35417      5.84427
     0.35556      5.86301
     0.35694      5.88175
     0.35833      5.90048
     0.35972      5.91921
     0.36111      5.93794
     0.36250      5.95667
     0.36389      5.97539
     0.36528      5.99411
     0.36667      6.01283
     0.36806      6.03155
     0.36944      6.05026
     0.37083      6.06897
     0.37222      6.08768
     0.37361      6.10639
     0.37500      6.12510
     0.37639      6.14380
     0.37778      6.16250
     0.37917      6.18120
     0.38056      6.19989
     0.38194      6.21859
     0.38333      6.23728
     0.38472      6.25597
     0.38611      6.27466
     0.38750      6.29334
     0.38889      6.31203
     0.39028      6.33071
     0.39167      6.34939
     0.39306      6.36807
     0.39444      6.38674
     0.39583      6.40542
     0.39722      6.42409
     0.39861      6.44276
     0.40000      6.46143
     0.40139      6.48010
     0.40278      6.49877
     0.40417      6.51743
     0.40556      6.53609
     0.40694      6.55475
     0.40833      6.57341
     0.40972      6.59207
     0.41111      6.61073
     0.41250      6.62938
     0.41389      6.64803
     0.41528      6.66669
     0.41667      6.68534
     0.41806      6.70398
     0.41944      6.72263
     0.42083      6.74128
     0.42222      6.75992
     0.42361      6.77856
     0.42500      6.79721
     0.42639      6.81585
     0.42778      6.83449
     0.42917      6.85312
     0.43056      6.87176
     0.43194      6.89039
     0.43333      6.90903
     0.43472      6.92766
     0.43611      6.94629
     0.43750      6.96492
     0.43889      6.98355
     0.44028      7.00218
     0.44167      7.02080
     0.44306      7.03943
     0.44444      7.05805
     0.44583      7.07668
     0.44722      7.09530
     0.44861      7.11392
     0.45000      7.13254
     0.45139      7.15116
     0.45278      7.16978
     0.45417      7.18839
     0.45556      7.20701
     0.45694      7.22562
     0.45833      7.24424
     0.45972      7.26285
     0.46111      7.28146
     0.46250      7.30007
     0.46389      7.31868
     0.46528      7.33729
     0.46667      7.35590
     0.46806      7.37451
     0.46944      7.39311
     0.47083      7.41172
     0.47222      7.43032
     0.47361      7.44893
     0.47500      7.46753
     0.47639      7.48613
     0.47778      7.50473
     0.47917      7.52333
     0.48056      7.54193
     0.48194      7.56053
     0.48333      7.57913
     0.48472      7.59772
     0.48611      7.61632
     0.48750      7.63492
     0.48889      7.65351
     0.49028      7.67210
     0.49167      7.69070
     0.49306      7.70929
     0.49444      7.72788
     0.49583      7.74647
     0.49722      7.76506
     0.49861      7.78365
     0.50000      7.80224
     0.50139      7.82083
     0.50278      7.83942
     0.50417      7.85801
     0.50556      7.87659
     0.50694      7.89518
     0.50833      7.91377
     0.50972      7.93235
     0.51111      7.95094
     0.51250      7.96952
     0.51389      7.98810
     0.51528      8.00668
     0.51667      8.02527
     0.51806      8.04385
     0.51944      8.06243
     0.52083      8.08101
     0.52222      8.09959
     0.52361      8.11817
     0.52500      8.13675
     0.52639      8.15532
     0.52778      8.17390
     0.52917      8.19248
     0.53056      8.21106
     0.53194      8.22963
     0.53333      8.24821
     0.53472      8.26678
     0.53611      8.28536
     0.53750      8.30393
     0.53889      8.32251
     0.54028      8.34108
     0.54167      8.35965
     0.54306      8.37822
     0.54444      8.39680
     0.54583      8.41537
     0.54722      8.43394
     0.54861      8.45251
     0.55000      8.47108
     0.55139      8.48965
     0.55278      8.50822
     0.55417      8.52679
     0.55556      8.54536
     0.55694      8.56393
     0.55833      8.58249
     0.55972      8.60106
     0.56111      8.61963
     0.56250      8.63820
     0.56389      8.65676
     0.56528      8.67533
     0.56667      8.69389
     0.56806      8.71246
     0.56944      8.73102
     0.57083      8.74959
     0.57222      8.76815
     0.57361      8.78672
     0.57500      8.80528
     0.57639      8.82385
     0.57778      8.84241
     0.57917      8.86097
     0.58056      8.87953
     0.58194      8.89810
     0.58333      8.91666
     0.58472      8.93522
     0.58611      8.95378
     0.58750      8.97234
     0.58889      8.99090
     0.59028      9.00946
     0.59167      9.02802
     0.59306      9.04658
     0.59444      9.06514
     0.59583      9.08370
     0.59722      9.10226
     0.59861      9.12082
     0.60000      9.13938
     0.60139      9.15794
     0.60278      9.17649
     0.60417      9.19505
     0.60556      9.21361
     0.60694      9.23217
     0.60833      9.25072
     0.60972      9.26928
     0.61111      9.28784
     0.61250      9.30639
     0.61389      9.32495
     0.61528      9.34351
     0.61667      9.36206
     0.61806      9.38062
     0.61944      9.39917
     0.62083      9.41773
     0.62222      9.43628
     0.62361      9.45484
     0.62500      9.47339
     0.62639      9.49195
     0.62778      9.51050
     0.62917      9.52905
     0.63056      9.54761
     0.63194      9.56616
     0.63333      9.58471
     0.63472      9.60327
     0.63611      9.62182
     0.63750      9.64037
     0.63889      9.65892
     0.64028      9.67748
     0.64167      9.69603
     0.64306      9.71458
     0.64444      9.73313
     0.64583      9.75168
     0.64722      9.77024
     0.64861      9.78879
     0.65000      9.80734
     0.65139      9.82589
     0.65278      9.84444
     0.65417      9.86299
     0.65556      9.88154
     0.65694      9.90009
     0.65833      9.91864
     0.65972      9.93719
     0.66111      9.95574
     0.66250      9.97429
     0.66389      9.99284
     0.66528     10.01139
     0.66667     10.02994
     0.66806     10.04849
     0.66944     10.06704
     0.67083     10.08559
     0.67222     10.10414
     0.67361     10.12269
     0.67500     10.14123
     0.67639     10.15978
     0.67778     10.17833
     0.67917     10.19688
     0.68056     10.21543
     0.68194     10.23398
     0.68333     10.25252
     0.68472     10.27107
     0.68611     10.28962
     0.68750     10.30817
     0.68889     10.32671
     0.69028     10.34526
     0.69167     10.36381
     0.69306     10.38236
     0.69444     10.40090
     0.69583     10.41945
     0.69722     10.43800
     0.69861     10.45654
     0.70000     10.47509
     0.70139     10.49364
     0.70278     10.51218
     0.70417     10.53073
     0.70556     10.54927
     0.70694     10.56782
     0.70833     10.58637
     0.70972     10.60491
     0.71111     10.62346
     0.71250     10.64200
     0.71389     10.66055
     0.71528     10.67909
     0.71667     10.69764
     0.71806     10.71619
     0.71944     10.73473
     0.72083     10.75328
     0.72222     10.77182
     0.72361     10.79037
     0.72500     10.80891
     0.72639     10.82746
     0.72778     10.84600
     0.72917     10.86455
     0.73056     10.88309
     0.73194     10.90163
     0.73333     10.92018
     0.73472     10.93872
     0.73611     10.95727
     0.73750     10.97581
     0.73889     10.99436
     0.74028     11.01290
     0.74167     11.03144
     0.74306     11.04999
     0.74444     11.06853
     0.74583     11.08708
     0.74722     11.10562
     0.74861     11.12416
     0.75000     11.14271
     0.75139     11.16125
     0.75278     11.17979
     0.75417     11.19834
     0.75556     11.21688
     0.75694     11.23543
     0.75833     11.25397
     0.75972     11.27251
     0.76111     11.29105
     0.76250     11.30960
     0.76389     11.32814
     0.76528     11.34668
     0.76667     11.36523
     0.76806     11.38377
     0.76944     11.40231
     0.77083     11.42086
     0.77222     11.43940
     0.77361     11.45794
     0.77500     11.47648
     0.77639     11.49503
     0.77778     11.51357
