        hour        infil
     0.00278      0.00023
     0.00556      0.00047
     0.00833      0.00070
     0.01111      0.00094
     0.01389      0.00117
     0.01667      0.00141
     0.01944      0.00165
     0.02222      0.00189
     0.02500      0.00213
     0.02778      0.00237
     0.03056      0.00261
     0.03333      0.00285
     0.03611      0.00309
     0.03889      0.00334
     0.04167      0.00358
     0.04444      0.00383
     0.04722      0.00408
     0.05000      0.00432
     0.05278      0.00457
     0.05556      0.00482
     0.05833      0.00507
     0.06111      0.00532
     0.06389      0.00558
     0.06667      0.00583
     0.06944      0.00608
     0.07222      0.00634
     0.07500      0.00659
     0.07778      0.00685
     0.08056      0.00711
     0.08333      0.00737
     0.08611      0.00762
     0.08889      0.00789
     0.09167      0.00815
     0.09444      0.00841
     0.09722      0.00867
     0.10000      0.00894
     0.10278      0.00920
     0.10556      0.00947
     0.10833      0.00973
     0.11111      0.01000
     0.11389      0.01027
     0.11667      0.01054
     0.11944      0.01081
     0.12222      0.01108
     0.12500      0.01136
     0.12778      0.01163
     0.13056      0.01190
     0.13333      0.01218
     0.13611      0.01246
     0.13889      0.01273
     0.14167      0.01301
     0.14444      0.01329
     0.14722      0.01357
     0.15000      0.01386
     0.15278      0.01414
     0.15556      0.01442
     0.15833      0.01471
     0.16111      0.01499
     0.16389      0.01528
     0.16667      0.01557
     0.16944      0.01585
     0.17222      0.01614
     0.17500      0.01644
     0.17778      0.01673
     0.18056      0.01702
     0.18333      0.01731
     0.18611      0.01761
     0.18889      0.01790
     0.19167      0.01820
     0.19444      0.01850
     0.19722      0.01880
     0.20000      0.01910
     0.20278      0.01940
     0.20556      0.01970
     0.20833      0.02001
     0.21111      0.02031
     0.21389      0.02062
     0.21667      0.02092
     0.21944      0.02123
     0.22222      0.02154
     0.22500      0.02185
     0.22778      0.02216
     0.23056      0.02247
     0.23333      0.02278
     0.23611      0.02310
     0.23889      0.02341
     0.24167      0.02373
     0.24444      0.02405
     0.24722      0.02437
     0.25000      0.02469
     0.25278      0.02501
     0.25556      0.02533
     0.25833      0.02565
     0.26111      0.02598
     0.26389      0.02630
     0.26667      0.02663
     0.26944      0.02696
     0.27222      0.02729
     0.27500      0.02762
     0.27778      0.02795
     0.28056      0.02828
     0.28333      0.02861
     0.28611      0.02895
     0.28889      0.02928
     0.29167      0.02962
     0.29444      0.02996
     0.29722      0.03030
     0.30000      0.03064
     0.30278      0.03098
     0.30556      0.03132
     0.30833      0.03167
     0.31111      0.03201
     0.31389      0.03236
     0.31667      0.03271
     0.31944      0.03306
     0.32222      0.03341
     0.32500      0.03376
     0.32778      0.03411
     0.33056      0.03447
     0.33333      0.03482
     0.33611      0.03518
     0.33889      0.03554
     0.34167      0.03590
     0.34444      0.03626
     0.34722      0.03662
     0.35000      0.03698
     0.35278      0.03734
     0.35556      0.03771
     0.35833      0.03808
     0.36111      0.03844
     0.36389      0.03881
     0.36667      0.03918
     0.36944      0.03956
     0.37222      0.03993
     0.37500      0.04030
     0.37778      0.04068
     0.38056      0.04106
     0.38333      0.04144
     0.38611      0.04182
     0.38889      0.04220
     0.39167      0.04258
     0.39444      0.04296
     0.39722      0.04335
     0.40000      0.04373
     0.40278      0.04412
     0.40556      0.04451
     0.40833      0.04490
     0.41111      0.04529
     0.41389      0.04569
     0.41667      0.04608
     0.41944      0.04648
     0.42222      0.04687
     0.42500      0.04727
     0.42778      0.04767
     0.43056      0.04808
     0.43333      0.04848
     0.43611      0.04888
     0.43889      0.04929
     0.44167      0.04970
     0.44444      0.05010
     0.44722      0.05051
     0.45000      0.05093
     0.45278      0.05134
     0.45556      0.05175
     0.45833      0.05217
     0.46111      0.05259
     0.46389      0.05301
     0.46667      0.05343
     0.46944      0.05385
     0.47222      0.05427
     0.47500      0.05469
     0.47778      0.05512
     0.48056      0.05555
     0.48333      0.05598
     0.48611      0.05641
     0.48889      0.05684
     0.49167      0.05727
     0.49444      0.05771
     0.49722      0.05815
     0.50000      0.05858
     0.50278      0.05902
     0.50556      0.05947
     0.50833      0.05991
     0.51111      0.06035
     0.51389      0.06080
     0.51667      0.06125
     0.51944      0.06170
     0.52222      0.06215
     0.52500      0.06260
     0.52778      0.06305
     0.53056      0.06351
     0.53333      0.06396
     0.53611      0.06442
     0.53889      0.06488
     0.54167      0.06535
     0.54444      0.06581
